,cif,nodes_cansmi,linkers_cansmi,rcsr
0,hMOF-10823,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-]', 'Brc1cc(cc(c1N=Nc1cc(Br)c(c(c1Br)Br)C(=O)[O-])Br)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1Br)C(=O)[O-]']",pcu
1,hMOF-5004084,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)C=CC(=O)[O-]', '[O-]C(=O)C=C(C(=O)[O-])F']",pcu
2,hMOF-11357,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1ccc(c2c1c(O)ccc2O)C(=O)[O-]', 'OOC(=O)c1ccc(c2=C(C(=C[C]=c12)O)O)C(=O)[O-]', '[O-]C(=O)c1c(O)c(O)c(c2c1ccc(c2O)O)C(=O)[O-]']",pcu
3,hMOF-23408,['[Zn][Zn]'],"['COc1cc2c(cc1C(=O)[O-])c(OC)c(c(c2OC)C(=O)[O-])OC', 'COC1=N[CH]C(=C([CH]1)N=Nc1ccncc1OC)OC', 'COc1cc2cc(C(=O)[O-])c(c(c2cc1C(=O)[O-])OC)OC']",pcu
4,hMOF-5058125,['[Zn][Zn]'],"['[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-]', 'N12C3C4C2C2C1C3N42', '[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-]']",pcu
5,hMOF-5009824,['[Zn][O]([Zn])([Zn])[Zn]'],"['N=NC1CC2(C(=O)[O-])C(C(C1(CC2(N=N)N=N)C(=O)[O-])N=N)N=N', 'N=Nc1cc(C#Cc2ccc3c(c2)[N]NOC3=O)cc(c1C(=O)[O-])N=N', 'N=Nc1cc(ccc1C#Cc1cc(N=N)c(c(c1N=N)N=N)C(=O)[O-])C(=O)[O-]']","pcu,sql"
6,hMOF-5016144,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C12C3C4C2(C2C1C3(C42C(=O)[O-])N)N', '[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])N)N)N']",pcu
7,hMOF-33065,['[Cu][Cu]'],"['CCc1ncc(c(c1)C#Cc1cc(CC)nc(c1CC)CC)CC', '[O-]C(=O)C(=O)[O-]']","pcu,sql"
8,hMOF-5016346,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])Br)Br)Br', 'BrC1=C(Br)C(=C[C]=C1C1=CC=C(C=[C]1)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)c1ccc(cc1Br)c1cc(Br)c(c(c1)Br)C(=O)[O-]']",pcu
9,hMOF-5001333,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C=C(C(=O)[O-])Cl', 'ClC(=C(C(=O)[O-])Cl)C(=O)[O-]']",pcu
10,hMOF-5005675,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C#CC#CC#CC(=O)[O-]']",pcu
11,hMOF-23937,['[Zn][Zn]'],"['N#N', 'CCOc1c(C(=O)[O-])c2ccccc2c(c1O[CH2])C(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]']",
12,hMOF-28690,['[Cu][Cu]'],"['N#Cc1ccc(c(c1)Cl)C#N', '[O-]C(=O)C#Cc1ccc(c(c1)Cl)C#CC(=O)[O-]', '[O-]C(=O)C#Cc1ccc(c(c1Cl)Cl)C#CC(=O)[O-]']",pcu
13,hMOF-5062965,['[Cu][Cu]'],"['c1ncc2c(c1)ccc1c2cccn1', '[O-]C(=O)C#CC#CC#CC(=O)[O-]']",pcu
14,hMOF-5028850,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', 'N#CC1=C(C(=O)[O-])[C](C2=C([N])O[C]3N(C2=C1)C(=O)c1cc(C#N)c2c4c1c3c(C#N)c(c4C(=O)N(C2=O)c1ccc(cc1)C(=O)[O-])C#N)C#N']",pcu
15,hMOF-5014722,['[Zn][O]([Zn])([Zn])[Zn]'],"['CCCOC12C3C4C1(C(=O)[O-])C1C2(C3(C41OCCC)C(=O)[O-])OCCC', 'CCCOC(=C(C=CC(=O)[O-])O[CH]CC)C([O])[O]', 'CCCOC12C3(C(=O)[O-])C4C1(OCCC)C1(C2(C3(C41)OCCC)OCCC)C(=O)[O-]']",pcu
16,hMOF-5003016,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', 'Cc1cc(ccc1C1=C[C]=C(C=C1)c1ccc(cc1C)C(=O)[O-])C(=O)[O-]']",pcu
17,hMOF-5079770,['[Cu][Cu]'],"['[O-]C(=O)c1c(cc(cc1c1ccccc1)N1C(=O)[C]2C=CC3=c4c2c(C1=O)c(cc4=C1N2[C]3OC3C=CC=C[C]3c3c2c(C2=CC=C[CH]C2O1)c(c(c3C1=CC=[C][C]=C1)C(=O)[O-])c1ccccc1)c1ccccc1)C1=CC=[C]C=C1', 'c1ncc2c(c1)ccc1c2cccn1', '[O-]C(=O)C1=CC2=C3CC(=CC(=C3C[CH]C2C(=C1)c1ccccc1)C(=O)[O-])c1ccccc1']",pcu
18,hMOF-5057263,['[Zn][Zn]'],"['N#Cc1cc(ccc1C(=O)[O-])N1C(=O)[C]2C=Cc3c4c2c(C1=O)c(C#N)c1c4c2c4c3=C([C]N=N[C]1)[C](C#N)C1=c3oc([N])c5[C]6n3c(=c(c41)cc2)oc(=[N])c6cc(c5C#N)C(=O)[O-]', 'N#CC(=CC(=O)[O-])C=CC(=O)[O-]', 'N#CN=CC(=NC#N)C#N']",pcu
19,hMOF-5073212,['[Cu][Cu]'],"['CC(=CC#CC(=O)[O-])C#CC(=O)[O-]', 'N#CC=CC#N', '[O-]C(=O)C#CC12C3(C)C4C1(C)C1(C2(C3(C41C#CC(=O)[O-])C)C)C']",pcu
