,cif,nodes_cansmi,linkers_cansmi,rcsr
0,hMOF-5026893,['[Zn][O]([Zn])([Zn])[Zn]'],"['N#Cc1cc(C(=O)[O-])c(cc1c1cc(C#N)c(c(c1C#N)C#N)c1cc(C#N)c(c(c1C#N)C#N)C(=O)[O-])C#N', 'N#Cc1c(C#N)c(ccc1C(=O)[O-])c1ccc(c(c1)C#N)c1ccc(c(c1C#N)C#N)C(=O)[O-]', 'N#CC1=C2[C]3OC(=C4[C]5N3C(=C3[C]2C2=C(C(=O)N(C(=O)C2=C1)c1ccc(c(c1)C#N)C(=O)[O-])C(=C3C#N)C#N)OC(=[N])C5=CC(=C4C#N)C(=O)[O-])[N]']",pcu
1,hMOF-5041960,[],[],
2,hMOF-5008195,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C1=[C]c2c(C(=C1)O)ccc1=C(C(=C[C]=c21)O)C(=O)[O-]', '[O-]C(=O)c1cc(O)c2c(c1O)c1cccc(c1c(c2)O)C(=O)[O-]', 'OC(=CC#CC(=O)[O-])C#CC(=O)[O-]']",pcu
3,hMOF-5001389,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C=CC(=O)[O-]']",pcu
4,hMOF-5004109,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C=C(C(=O)[O-])Cl', '[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)C=CC(=O)[O-]']",pcu
5,hMOF-5034917,['[Zn][Zn]'],"['CN=CC=NC', '[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C=CC=CC(=O)[O-]']",pcu
6,hMOF-5010751,[],[],
7,hMOF-5079030,['[Cu][Cu]'],"['[O-]C(=O)C1=[C]C=C(C(=C1)Cl)C#Cc1c(Cl)cc(cc1Cl)C(=O)[O-]', 'Clc1nccc(c1)N1C(=O)c2ccc3c4c2c(C1=O)c(Cl)c(c4C(=O)N(C3=O)c1cc(Cl)nc(c1)Cl)Cl', '[O-]C(=O)C1=[C]C(=C(C(=C1)Cl)C#Cc1c(Cl)cc(cc1Cl)C(=O)[O-])Cl']",pcu
8,hMOF-5045943,['[Zn][Zn]'],"['OC12C3N4C2C2(N1C3C42O)O', 'OC(=C(C#CC(=O)[O-])O)C#CC(=O)[O-]', '[O-]C(=O)C12C3C4C2(C2C1C3(C42C(=O)[O-])O)O']",pcu
9,hMOF-26842,['[Zn][Zn]'],"['N#Cc1cc(N)c(c(c1N)N)C#N', '[O-]C(=O)c1cc2c(cc1N)ccc1c2ccc2c1c(N)c(c(c2N)N)C(=O)[O-]', '[O-]C(=O)C#Cc1ccc(c(c1)N)C#CC(=O)[O-]']",pcu
10,hMOF-5014480,['[Zn][O]([Zn])([Zn])[Zn]'],"['CCOc1cc(ccc1C(=O)[O-])N=Nc1ccc(c(c1OCC)OCC)C(=O)[O-]', 'CCOC12C3C4C2(C2C1C3(C42)C(=O)[O-])C(=O)[O-]', 'CCOc1cc(ccc1N=Nc1cc(OCC)c(c(c1OCC)OCC)C(=O)[O-])C(=O)[O-]']",pcu
