,cif,nodes_cansmi,linkers_cansmi,rcsr
0,hMOF-5066892,['[Cu][Cu]'],"['C1CN2CCN1CC2', '[O-]C(=O)C12CCC(CC1)(CC2)C(=O)[O-]']",pcu
1,hMOF-5011524,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC12CC(N)C(C(C1)(N)N)(C(C2N)(N)N)C#CC(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]']",pcu
2,hMOF-5371,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C=C(C(=O)[O-])O', '[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1O)C(=O)[O-]', 'Oc1c(N=Nc2c(O)c(O)c(c(c2O)O)C(=O)[O-])ccc(c1O)C(=O)[O-]']",pcu
3,hMOF-5066295,['[Cu][Cu]'],"['[O-]C(=O)C1=CC=C([C]=C1)C1=[C]C(=C(C=C1)C(=O)[O-])Br', 'BrC1=NC=C(C(=[C]1)C1=[C]C=NC(=C1)Br)Br', '[O-]C(=O)C12CC(Br)C(C(C1Br)Br)(C(C2Br)Br)C(=O)[O-]']",pcu
4,hMOF-4462,['[Zn][O]([Zn])([Zn])[Zn]'],"['CCOc1c(C#CC(=O)[O-])cc(c(c1OCC)C#CC(=O)[O-])OCC', 'CCOc1ccc(c(c1)OCC)c1cc2C(=O)OC3[C](c2cc1C(=O)[O-])C(=C(C(=C3)OCC)OCC)OCC', 'CCOc1cc(C#CC(=O)[O-])ccc1C#CC(=O)[O-]']",pcu
5,hMOF-5021165,['[Zn][O]([Zn])([Zn])[Zn]'],"['COc1cc(C=Cc2ccc(c(c2)OC)C(=O)[O-])ccc1C(=O)[O-]', 'COc1c(C(=O)[O-])c(OC)c2c(c1OC)c(OC)c(cc2)C(=O)[O-]', 'COc1cc(C(=O)[O-])c(cc1C=C(c1c(OC)cc(cc1OC)C(=O)[O-])OC)OC']","pcu,sql"
6,hMOF-5046433,['[Zn][Zn]'],"['CCOC1=[N]=C(OCC)C(=C([C]1OCC)c1ccc(c(c1)OCC)c1c(OCC)cnc(c1O[CH2])OCC)OCC', 'CCOC12C3C4(C1C1(C2(C3(C41OCC)OCC)C#CC(=O)[O-])OCC)C#CC(=O)[O-]', 'CCOc1cc(c(cc1c1ccc(c(c1)OCC)C(=O)[O-])OCC)c1cc(OCC)c(c(c1OCC)OCC)C(=O)[O-]']",pcu
7,hMOF-5007153,[],[],
8,hMOF-2901,['[Zn][O]([Zn])([Zn])[Zn]'],"['N#Cc1cc(C(=O)[O-])c(c(c1C#Cc1ccc(c(c1)C#N)C(=O)[O-])C#N)C#N', 'N#Cc1cc(C#CC(=O)[O-])cc(c1C#CC(=O)[O-])C#N', '[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-]']",pcu
9,hMOF-5002052,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)c1c(Br)c(Br)c2c(c1Br)cc(c(c2Br)C(=O)[O-])Br', '[O-]C(=O)c1cc(Br)c2c(c1)c(Br)c(c(c2)C(=O)[O-])Br']",pcu
