,cif,nodes_cansmi,linkers_cansmi,rcsr
0,hMOF-14385,['[Zn][O]([Zn])([Zn])[Zn]'],"['N#Cc1c(C#CC(=O)[O-])c(C#N)c(c(c1C#N)C#CC(=O)[O-])C#N', 'N#Cc1cc2cc(cc3c2c2c1cc(cc2cc3C#N)C(=O)[O-])C(=O)[O-]', 'N#Cc1cc(C#CC(=O)[O-])c(cc1C#CC(=O)[O-])C#N']",pcu
1,hMOF-9549,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)c1ccc2c(c1)c(Cl)cc(c2Cl)C(=O)[O-]', '[O-]C(=O)c1c(Cl)cc(cc1Cl)N=Nc1cc(Cl)c(c(c1Cl)Cl)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1Cl)N=Nc1cc(Cl)c(c(c1)Cl)C(=O)[O-]']",pcu
2,hMOF-17956,['[Zn][Zn]'],"['CCCc1c(C#CC(=O)[O-])cc(c(c1CCC)C#CC(=O)[O-])CCC', 'CCCC1Cc2c1c(ccc2C(=O)[O-])C(=O)[O-]', 'CCCC1Cc2c1nc(c(n2)CCC)CCC']",pcu
3,hMOF-5025143,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', 'CCc1c(ccc(c1CC)C(=O)[O-])C1=N[N]C(=N[N]1)c1ccc(c(c1CC)CC)C(=O)[O-]', 'CCc1c(ccc(c1CC)C(=O)[O-])c1nnc(nn1)c1ccc(c(c1CC)CC)C(=O)[O-]']",pcu
4,hMOF-5019274,['[Zn][O]([Zn])([Zn])[Zn]'],"['ClC1C(Cl)C2(C#CC(=O)[O-])C(C(C1(C#CC(=O)[O-])C(C2Cl)Cl)Cl)Cl', '[O-]C(=O)C#CC12CCC(CC1)(C(C2Cl)(Cl)Cl)C#CC(=O)[O-]', '[O-]C(=O)C#CC12C3C4C1(Cl)C1(C2(C3(C41C#CC(=O)[O-])Cl)Cl)Cl']",pcu
5,hMOF-5021582,['[Zn][O]([Zn])([Zn])[Zn]'],"['N#Cc1cc2c(C#N)cc3c(c2cc1C(=O)[O-])c(C#N)c(c1c3cc(cc1C#N)C(=O)[O-])C#N', 'N#Cc1cc(C(=O)[O-])c(cc1C=Cc1ccc(c(c1)C#N)C(=O)[O-])C#N', 'N#Cc1cc2c(C#N)c(C#N)c3c(c2c(c1C(=O)[O-])C#N)ccc1c3cc(cc1C#N)C(=O)[O-]']",pcu
6,hMOF-5030687,['[Zn][O]([Zn])([Zn])[Zn]'],"['CCc1cc(ccc1C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)c(CC)cc4c1c2c3c([CH2])c(CC)c3c2c(cc1CC)C(=O)N(C3=O)c1ccc(c(c1)CC)C(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]']",pcu
7,hMOF-5024484,['[Zn][O]([Zn])([Zn])[Zn]'],"['CCCc1cc2c(cc1C(=O)[O-])cc(c(c2CCC)C(=O)[O-])CCC', 'CCCc1cc(C(=O)[O-])c(cc1c1nnc(nn1)c1ccc(c(c1)CCC)C(=O)[O-])CCC', 'CCCc1cc(ccc1c1nnc(nn1)c1ccc(c(c1CCC)CCC)C(=O)[O-])C(=O)[O-]']",pcu
8,hMOF-5060588,['[Cu][Cu]'],['N#CC#N'],sql
9,hMOF-5030986,['[Zn][O]([Zn])([Zn])[Zn]'],"['Nc1c(C#Cc2ccc(cc2)C(=O)[O-])ccc(c1N)C(=O)[O-]', 'Nc1cc(C(=O)[O-])c(cc1C#Cc1cc(N)c(c(c1)N)C(=O)[O-])N', '[O-]C(=O)c1c(N)cc(cc1N)N1C(=O)c2c(N)cc3c4c2c(C1=O)c(N)cc4c1c2c3ccc3c2c(c(c1N)N)C(=O)N(C3=O)c1c(N)c(N)c(c(c1N)N)C(=O)[O-]']",pcu
